GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oss-lib-common,com.yirendai.oss.lib.common,Jackson2Utils,90,49,7,3,24,11,15,3,10,3
oss-lib-common,com.yirendai.oss.lib.common,Jackson2HackedJaxbAnnotationIntrospector,8,0,0,0,4,0,3,0,3,0
oss-lib-common,com.yirendai.oss.lib.common,CodecUtils,28,14,4,0,7,3,5,3,3,3
oss-lib-common,com.yirendai.oss.lib.common,CurlUtils,236,0,24,0,59,0,18,0,6,0
oss-lib-common,com.yirendai.oss.lib.common,Jackson2Configurator.BuildinJackson2Configurators,5,56,0,0,0,6,1,3,1,3
oss-lib-common,com.yirendai.oss.lib.common,DateTimeFormatterWrapper,15,17,0,0,3,5,1,2,1,2
oss-lib-common,com.yirendai.oss.lib.common,FileAndClasspathUtils.AssignableFilter,3,33,4,6,0,9,3,4,0,2
oss-lib-common,com.yirendai.oss.lib.common,ResourceUtils,9,15,0,0,4,3,1,2,1,2
oss-lib-common,com.yirendai.oss.lib.common,StringUtils,43,23,5,3,4,2,6,3,3,2
oss-lib-common,com.yirendai.oss.lib.common,JaxbMapWrapper,15,0,0,0,4,0,3,0,3,0
oss-lib-common,com.yirendai.oss.lib.common,JaxbMapAdapter,52,0,0,0,12,0,6,0,6,0
oss-lib-common,com.yirendai.oss.lib.common,Jackson2Utils.RuntimeJsonProcessingException,5,0,0,0,2,0,1,0,1,0
oss-lib-common,com.yirendai.oss.lib.common,FileAndClasspathUtils,92,43,10,2,17,11,10,3,5,2
oss-lib-common,com.yirendai.oss.lib.common,FileAndClasspathUtils.InterfaceFilter,26,0,6,0,6,0,5,0,2,0
oss-lib-common,com.yirendai.oss.lib.common,MapUtils,30,0,2,0,6,0,5,0,4,0
oss-lib-common,com.yirendai.oss.lib.common,BasicAuthUtils,84,69,5,1,16,11,5,3,2,3
oss-lib-common,com.yirendai.oss.lib.common,FileAndClasspathUtils.ClassPathScanningCandidateProvider,0,8,0,0,0,3,0,2,0,2
oss-lib-common,com.yirendai.oss.lib.common,JaxbUtils.DatimeAdapter,13,0,0,0,3,0,3,0,3,0
oss-lib-common,com.yirendai.oss.lib.common,SpringSecurityJackson2Module.Jackson2SpringSecurityConfigurator,5,23,0,0,0,2,1,3,1,3
